"","Category","When","Count"
"192","Death","25-3-2020",0
"193","Confirmed","26-3-2020",14
"194","Recovered","26-3-2020",1
"195","Death","26-3-2020",0
"196","Confirmed","27-3-2020",9
"197","Recovered","27-3-2020",0
"198","Death","27-3-2020",0
"199","Confirmed","28-3-2020",9
"200","Recovered","28-3-2020",1
"201","Death","28-3-2020",0
"202","Confirmed","29-3-2020",6
"203","Recovered","29-3-2020",0
"204","Death","29-3-2020",0
"205","Confirmed","30-3-2020",1
"206","Recovered","30-3-2020",0
"207","Death","30-3-2020",1
"208","Confirmed","31-3-2020",2
"209","Recovered","31-3-2020",1
"210","Death","31-3-2020",0
"211","Confirmed","1-4-2020",4
"212","Recovered","1-4-2020",5
"213","Death","1-4-2020",0
"214","Confirmed","2-4-2020",3
"215","Recovered","2-4-2020",3
"216","Death","2-4-2020",0
"217","Confirmed","3-4-2020",4
"218","Recovered","3-4-2020",7
"219","Death","3-4-2020",0
"220","Confirmed","4-4-2020",2
"221","Recovered","4-4-2020",0
"222","Death","4-4-2020",1
"223","Confirmed","5-4-2020",3
"224","Recovered","5-4-2020",10
"225","Death","5-4-2020",0
"226","Confirmed","6-4-2020",0
"227","Recovered","6-4-2020",12
"228","Death","6-4-2020",0
"229","Confirmed","7-4-2020",0
"230","Recovered","7-4-2020",0
"231","Death","7-4-2020",0
"232","Confirmed","8-4-2020",3
"233","Recovered","8-4-2020",0
"234","Death","8-4-2020",0
"235","Confirmed","9-4-2020",1
"236","Recovered","9-4-2020",7
"237","Death","9-4-2020",0
"238","Confirmed","10-4-2020",3
"239","Recovered","10-4-2020",12
"240","Death","10-4-2020",0
"241","Confirmed","11-4-2020",0
"242","Recovered","11-4-2020",0
"243","Death","11-4-2020",0
"244","Confirmed","12-4-2020",0
"245","Recovered","12-4-2020",0
"246","Death","12-4-2020",0
"247","Confirmed","13-4-2020",-1
"248","Recovered","13-4-2020",0
"249","Death","13-4-2020",0
