"","When","Category","Count"
"182",2020-02-14,"Recovered",0
"183",2020-03-14,"Recovered",0
"184",2020-02-15,"Recovered",0
"185",2020-03-15,"Recovered",0
"186",2020-02-16,"Recovered",0
"187",2020-03-16,"Recovered",0
"188",2020-02-17,"Recovered",0
"189",2020-03-17,"Recovered",0
"190",2020-02-18,"Recovered",0
"191",2020-03-18,"Recovered",0
"192",2020-02-19,"Recovered",0
"193",2020-03-19,"Recovered",0
"194",2020-02-02,"Recovered",0
"195",2020-03-02,"Recovered",0
"196",2020-04-02,"Recovered",3
"197",2020-02-20,"Recovered",0
"198",2020-03-20,"Recovered",0
"199",2020-02-21,"Recovered",0
"200",2020-03-21,"Recovered",0
"201",2020-01-22,"Recovered",0
"202",2020-02-22,"Recovered",0
"203",2020-03-22,"Recovered",0
"204",2020-01-23,"Recovered",0
"205",2020-02-23,"Recovered",0
"206",2020-03-23,"Recovered",0
"207",2020-01-24,"Recovered",0
"208",2020-02-24,"Recovered",0
"209",2020-03-24,"Recovered",0
"210",2020-01-25,"Recovered",0
"211",2020-02-25,"Recovered",0
"212",2020-03-25,"Recovered",0
"213",2020-01-26,"Recovered",0
"214",2020-02-26,"Recovered",0
"215",2020-03-26,"Recovered",1
"216",2020-01-27,"Recovered",0
"217",2020-02-27,"Recovered",0
"218",2020-03-27,"Recovered",0
"219",2020-01-28,"Recovered",0
"220",2020-02-28,"Recovered",0
"221",2020-03-28,"Recovered",1
"222",2020-01-29,"Recovered",0
"223",2020-02-29,"Recovered",0
"224",2020-03-29,"Recovered",0
"225",2020-02-03,"Recovered",0
"226",2020-03-03,"Recovered",0
"227",2020-04-03,"Recovered",7
"228",2020-01-30,"Recovered",0
"229",2020-03-30,"Recovered",0
"230",2020-01-31,"Recovered",0
"231",2020-03-31,"Recovered",1
"232",2020-02-04,"Recovered",0
"233",2020-03-04,"Recovered",0
"234",2020-04-04,"Recovered",0
"235",2020-02-05,"Recovered",0
"236",2020-03-05,"Recovered",0
"237",2020-04-05,"Recovered",10
"238",2020-02-06,"Recovered",0
"239",2020-03-06,"Recovered",0
"240",2020-04-06,"Recovered",12
"241",2020-02-07,"Recovered",0
"242",2020-03-07,"Recovered",0
"243",2020-04-07,"Recovered",0
"244",2020-02-08,"Recovered",0
"245",2020-03-08,"Recovered",0
"246",2020-04-08,"Recovered",0
"247",2020-02-09,"Recovered",0
"248",2020-03-09,"Recovered",0
"249",2020-04-09,"Recovered",7
