B,Australian Capital Territory,Recovered,0,027-2-2020
C,Australian Capital Territory,Death,0,027-2-2020
A,Australian Capital Territory,Confirmed,0,028-2-2020
B,Australian Capital Territory,Recovered,0,028-2-2020
C,Australian Capital Territory,Death,0,028-2-2020
A,Australian Capital Territory,Confirmed,0,029-2-2020
B,Australian Capital Territory,Recovered,0,029-2-2020
C,Australian Capital Territory,Death,0,029-2-2020
A,Australian Capital Territory,Confirmed,0,01-3-2020
B,Australian Capital Territory,Recovered,0,01-3-2020
C,Australian Capital Territory,Death,0,01-3-2020
A,Australian Capital Territory,Confirmed,0,02-3-2020
B,Australian Capital Territory,Recovered,0,02-3-2020
C,Australian Capital Territory,Death,0,02-3-2020
A,Australian Capital Territory,Confirmed,0,03-3-2020
B,Australian Capital Territory,Recovered,0,03-3-2020
C,Australian Capital Territory,Death,0,03-3-2020
A,Australian Capital Territory,Confirmed,0,04-3-2020
B,Australian Capital Territory,Recovered,0,04-3-2020
C,Australian Capital Territory,Death,0,04-3-2020
A,Australian Capital Territory,Confirmed,0,05-3-2020
B,Australian Capital Territory,Recovered,0,05-3-2020
C,Australian Capital Territory,Death,0,05-3-2020
A,Australian Capital Territory,Confirmed,0,06-3-2020
B,Australian Capital Territory,Recovered,0,06-3-2020
C,Australian Capital Territory,Death,0,06-3-2020
A,Australian Capital Territory,Confirmed,0,07-3-2020
B,Australian Capital Territory,Recovered,0,07-3-2020
C,Australian Capital Territory,Death,0,07-3-2020
A,Australian Capital Territory,Confirmed,0,08-3-2020
B,Australian Capital Territory,Recovered,0,08-3-2020
C,Australian Capital Territory,Death,0,08-3-2020
A,Australian Capital Territory,Confirmed,0,09-3-2020
B,Australian Capital Territory,Recovered,0,09-3-2020
C,Australian Capital Territory,Death,0,09-3-2020
A,Australian Capital Territory,Confirmed,0,010-3-2020
B,Australian Capital Territory,Recovered,0,010-3-2020
C,Australian Capital Territory,Death,0,010-3-2020
A,Australian Capital Territory,Confirmed,0,011-3-2020
B,Australian Capital Territory,Recovered,0,011-3-2020
C,Australian Capital Territory,Death,0,011-3-2020
A,Australian Capital Territory,Confirmed,0,012-3-2020
B,Australian Capital Territory,Recovered,0,012-3-2020
C,Australian Capital Territory,Death,0,012-3-2020
A,Australian Capital Territory,Confirmed,1,113-3-2020
B,Australian Capital Territory,Recovered,0,113-3-2020
C,Australian Capital Territory,Death,0,113-3-2020
A,Australian Capital Territory,Confirmed,0,014-3-2020
B,Australian Capital Territory,Recovered,0,014-3-2020
C,Australian Capital Territory,Death,0,014-3-2020
A,Australian Capital Territory,Confirmed,0,015-3-2020
B,Australian Capital Territory,Recovered,0,015-3-2020
C,Australian Capital Territory,Death,0,015-3-2020
A,Australian Capital Territory,Confirmed,1,116-3-2020
B,Australian Capital Territory,Recovered,0,116-3-2020
C,Australian Capital Territory,Death,0,116-3-2020
A,Australian Capital Territory,Confirmed,0,017-3-2020
B,Australian Capital Territory,Recovered,0,017-3-2020
C,Australian Capital Territory,Death,0,017-3-2020
A,Australian Capital Territory,Confirmed,1,118-3-2020
B,Australian Capital Territory,Recovered,0,118-3-2020
C,Australian Capital Territory,Death,0,118-3-2020
A,Australian Capital Territory,Confirmed,1,119-3-2020
B,Australian Capital Territory,Recovered,0,119-3-2020
C,Australian Capital Territory,Death,0,119-3-2020
A,Australian Capital Territory,Confirmed,2,220-3-2020
B,Australian Capital Territory,Recovered,0,220-3-2020
C,Australian Capital Territory,Death,0,220-3-2020
A,Australian Capital Territory,Confirmed,3,321-3-2020
B,Australian Capital Territory,Recovered,0,321-3-2020
C,Australian Capital Territory,Death,0,321-3-2020
A,Australian Capital Territory,Confirmed,10,1022-3-2020
B,Australian Capital Territory,Recovered,0,1022-3-2020
C,Australian Capital Territory,Death,0,1022-3-2020
A,Australian Capital Territory,Confirmed,13,1323-3-2020
B,Australian Capital Territory,Recovered,0,1323-3-2020
C,Australian Capital Territory,Death,0,1323-3-2020
A,Australian Capital Territory,Confirmed,7,724-3-2020
B,Australian Capital Territory,Recovered,0,724-3-2020
C,Australian Capital Territory,Death,0,724-3-2020
A,Australian Capital Territory,Confirmed,0,025-3-2020
B,Australian Capital Territory,Recovered,0,025-3-2020
C,Australian Capital Territory,Death,0,025-3-2020
A,Australian Capital Territory,Confirmed,14,1426-3-2020
B,Australian Capital Territory,Recovered,1,1426-3-2020
C,Australian Capital Territory,Death,0,1426-3-2020
A,Australian Capital Territory,Confirmed,9,927-3-2020
B,Australian Capital Territory,Recovered,0,927-3-2020
C,Australian Capital Territory,Death,0,927-3-2020
A,Australian Capital Territory,Confirmed,9,928-3-2020
B,Australian Capital Territory,Recovered,1,928-3-2020
C,Australian Capital Territory,Death,0,928-3-2020
A,Australian Capital Territory,Confirmed,6,629-3-2020
B,Australian Capital Territory,Recovered,0,629-3-2020
C,Australian Capital Territory,Death,0,629-3-2020
A,Australian Capital Territory,Confirmed,1,130-3-2020
B,Australian Capital Territory,Recovered,0,130-3-2020
C,Australian Capital Territory,Death,1,130-3-2020
A,Australian Capital Territory,Confirmed,2,231-3-2020
B,Australian Capital Territory,Recovered,1,231-3-2020
C,Australian Capital Territory,Death,0,231-3-2020
A,Australian Capital Territory,Confirmed,4,41-4-2020
B,Australian Capital Territory,Recovered,5,41-4-2020
C,Australian Capital Territory,Death,0,41-4-2020
A,Australian Capital Territory,Confirmed,3,32-4-2020
B,Australian Capital Territory,Recovered,3,32-4-2020
C,Australian Capital Territory,Death,0,32-4-2020
A,Australian Capital Territory,Confirmed,4,43-4-2020
B,Australian Capital Territory,Recovered,7,43-4-2020
C,Australian Capital Territory,Death,0,43-4-2020
A,Australian Capital Territory,Confirmed,2,24-4-2020
B,Australian Capital Territory,Recovered,0,24-4-2020
C,Australian Capital Territory,Death,1,24-4-2020
A,Australian Capital Territory,Confirmed,3,5-4-2020
B,Australian Capital Territory,Recovered,10,35-4-2020
C,Australian Capital Territory,Death,0,35-4-2020
