A,Victoria,Confirmed,0,9,3-3-2020
B,Victoria,Recovered,0,4,3-3-2020
C,Victoria,Death,0,0,3-3-2020
A,Victoria,Confirmed,1,10,4-3-2020
B,Victoria,Recovered,0,4,4-3-2020
C,Victoria,Death,0,0,4-3-2020
A,Victoria,Confirmed,0,10,5-3-2020
B,Victoria,Recovered,3,7,5-3-2020
C,Victoria,Death,0,0,5-3-2020
A,Victoria,Confirmed,0,10,6-3-2020
B,Victoria,Recovered,0,7,6-3-2020
C,Victoria,Death,0,0,6-3-2020
A,Victoria,Confirmed,1,11,7-3-2020
B,Victoria,Recovered,0,7,7-3-2020
C,Victoria,Death,0,0,7-3-2020
A,Victoria,Confirmed,0,11,8-3-2020
B,Victoria,Recovered,0,7,8-3-2020
C,Victoria,Death,0,0,8-3-2020
A,Victoria,Confirmed,4,15,9-3-2020
B,Victoria,Recovered,0,7,9-3-2020
C,Victoria,Death,0,0,9-3-2020
A,Victoria,Confirmed,3,18,10-3-2020
B,Victoria,Recovered,0,7,10-3-2020
C,Victoria,Death,0,0,10-3-2020
A,Victoria,Confirmed,3,21,11-3-2020
B,Victoria,Recovered,0,7,11-3-2020
C,Victoria,Death,0,0,11-3-2020
A,Victoria,Confirmed,0,21,12-3-2020
B,Victoria,Recovered,0,7,12-3-2020
C,Victoria,Death,0,0,12-3-2020
A,Victoria,Confirmed,15,36,13-3-2020
B,Victoria,Recovered,1,8,13-3-2020
C,Victoria,Death,0,0,13-3-2020
A,Victoria,Confirmed,13,49,14-3-2020
B,Victoria,Recovered,0,8,14-3-2020
C,Victoria,Death,0,0,14-3-2020
A,Victoria,Confirmed,8,57,15-3-2020
B,Victoria,Recovered,0,8,15-3-2020
C,Victoria,Death,0,0,15-3-2020
A,Victoria,Confirmed,14,71,16-3-2020
B,Victoria,Recovered,0,8,16-3-2020
C,Victoria,Death,0,0,16-3-2020
A,Victoria,Confirmed,23,94,17-3-2020
B,Victoria,Recovered,0,8,17-3-2020
C,Victoria,Death,0,0,17-3-2020
A,Victoria,Confirmed,27,121,18-3-2020
B,Victoria,Recovered,0,8,18-3-2020
C,Victoria,Death,0,0,18-3-2020
A,Victoria,Confirmed,0,121,19-3-2020
B,Victoria,Recovered,0,8,19-3-2020
