A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
A,Australian Capital Territory,Confirmed,0
B,Australian Capital Territory,Recovered,0
C,Australian Capital Territory,Death,0
