"","When","Category","Count"
"37",2020-03-22,"Confirmed",10
"120",2020-03-22,"Death",0
"203",2020-03-22,"Recovered",0
"40",2020-03-23,"Confirmed",13
"123",2020-03-23,"Death",0
"206",2020-03-23,"Recovered",0
"43",2020-03-24,"Confirmed",7
"126",2020-03-24,"Death",0
"209",2020-03-24,"Recovered",0
"46",2020-03-25,"Confirmed",0
"129",2020-03-25,"Death",0
"212",2020-03-25,"Recovered",0
"49",2020-03-26,"Confirmed",14
"132",2020-03-26,"Death",0
"215",2020-03-26,"Recovered",1
"52",2020-03-27,"Confirmed",9
"135",2020-03-27,"Death",0
"218",2020-03-27,"Recovered",0
"55",2020-03-28,"Confirmed",9
"138",2020-03-28,"Death",0
"221",2020-03-28,"Recovered",1
"58",2020-03-29,"Confirmed",6
"141",2020-03-29,"Death",0
"224",2020-03-29,"Recovered",0
"63",2020-03-30,"Confirmed",1
"146",2020-03-30,"Death",1
"229",2020-03-30,"Recovered",0
"65",2020-03-31,"Confirmed",2
"148",2020-03-31,"Death",0
"231",2020-03-31,"Recovered",1
"3",2020-04-01,"Confirmed",4
"86",2020-04-01,"Death",0
"169",2020-04-01,"Recovered",5
"30",2020-04-02,"Confirmed",3
"113",2020-04-02,"Death",0
"196",2020-04-02,"Recovered",3
"61",2020-04-03,"Confirmed",4
"144",2020-04-03,"Death",0
"227",2020-04-03,"Recovered",7
"68",2020-04-04,"Confirmed",2
"151",2020-04-04,"Death",1
"234",2020-04-04,"Recovered",0
"71",2020-04-05,"Confirmed",3
"154",2020-04-05,"Death",0
"237",2020-04-05,"Recovered",10
"74",2020-04-06,"Confirmed",0
"157",2020-04-06,"Death",0
"240",2020-04-06,"Recovered",12
"77",2020-04-07,"Confirmed",0
"160",2020-04-07,"Death",0
"243",2020-04-07,"Recovered",0
"80",2020-04-08,"Confirmed",3
"163",2020-04-08,"Death",0
"246",2020-04-08,"Recovered",0
"83",2020-04-09,"Confirmed",1
"166",2020-04-09,"Death",0
"249",2020-04-09,"Recovered",7
"6",2020-04-10,"Confirmed",3
"89",2020-04-10,"Death",0
"172",2020-04-10,"Recovered",12
"9",2020-04-11,"Confirmed",0
"92",2020-04-11,"Death",0
"175",2020-04-11,"Recovered",0
"12",2020-04-12,"Confirmed",0
"95",2020-04-12,"Death",0
"178",2020-04-12,"Recovered",0
"15",2020-04-13,"Confirmed",0
"98",2020-04-13,"Death",0
"181",2020-04-13,"Recovered",0
