State,Country,Lat,Long,id,recovered_date,recovered_acc_count,recovered_inc_count
Afghanistan,Afghanistan,33.0,65.0,0,9-4-2020,32,3
Afghanistan,Afghanistan,33.0,65.0,0,10-4-2020,32,0
Afghanistan,Afghanistan,33.0,65.0,0,11-4-2020,32,0
Afghanistan,Afghanistan,33.0,65.0,0,12-4-2020,32,0
Afghanistan,Afghanistan,33.0,65.0,0,13-4-2020,32,0
Albania,Albania,41.1533,20.1683,1,22-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,23-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,24-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,25-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,26-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,27-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,28-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,29-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,30-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,31-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,1-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,2-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,3-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,4-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,5-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,6-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,7-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,8-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,9-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,10-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,11-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,12-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,13-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,14-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,15-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,16-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,17-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,18-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,19-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,20-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,21-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,22-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,23-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,24-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,25-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,26-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,27-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,28-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,29-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,1-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,2-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,3-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,4-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,5-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,6-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,7-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,8-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,9-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,10-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,11-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,12-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,13-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,14-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,15-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,16-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,17-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,18-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,19-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,20-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,21-3-2020,2,2
Albania,Albania,41.1533,20.1683,1,22-3-2020,2,0
Albania,Albania,41.1533,20.1683,1,23-3-2020,2,0
Albania,Albania,41.1533,20.1683,1,24-3-2020,10,8
Albania,Albania,41.1533,20.1683,1,25-3-2020,17,7
Albania,Albania,41.1533,20.1683,1,26-3-2020,17,0
Albania,Albania,41.1533,20.1683,1,27-3-2020,31,14
Albania,Albania,41.1533,20.1683,1,28-3-2020,31,0
Albania,Albania,41.1533,20.1683,1,29-3-2020,33,2
Albania,Albania,41.1533,20.1683,1,30-3-2020,44,11
Albania,Albania,41.1533,20.1683,1,31-3-2020,52,8
Albania,Albania,41.1533,20.1683,1,1-4-2020,67,15
Albania,Albania,41.1533,20.1683,1,2-4-2020,76,9
Albania,Albania,41.1533,20.1683,1,3-4-2020,89,13
Albania,Albania,41.1533,20.1683,1,4-4-2020,99,10
Albania,Albania,41.1533,20.1683,1,5-4-2020,104,5
Albania,Albania,41.1533,20.1683,1,6-4-2020,116,12
Albania,Albania,41.1533,20.1683,1,7-4-2020,131,15
Albania,Albania,41.1533,20.1683,1,8-4-2020,154,23
Albania,Albania,41.1533,20.1683,1,9-4-2020,165,11
Albania,Albania,41.1533,20.1683,1,10-4-2020,182,17
Albania,Albania,41.1533,20.1683,1,11-4-2020,197,15
Albania,Albania,41.1533,20.1683,1,12-4-2020,217,20
Albania,Albania,41.1533,20.1683,1,13-4-2020,232,15
Algeria,Algeria,28.0339,1.6596,2,22-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,23-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,24-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,25-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,26-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,27-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,28-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,29-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,30-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,31-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,1-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,2-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,3-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,4-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,5-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,6-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,7-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,8-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,9-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,10-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,11-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,12-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,13-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,14-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,15-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,16-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,17-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,18-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,19-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,20-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,21-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,22-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,23-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,24-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,25-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,26-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,27-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,28-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,29-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,1-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,2-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,3-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,4-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,5-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,6-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,7-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,8-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,9-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,10-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,11-3-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,12-3-2020,8,8
Algeria,Algeria,28.0339,1.6596,2,13-3-2020,8,0
Algeria,Algeria,28.0339,1.6596,2,14-3-2020,12,4
Algeria,Algeria,28.0339,1.6596,2,15-3-2020,12,0
Algeria,Algeria,28.0339,1.6596,2,16-3-2020,12,0
Algeria,Algeria,28.0339,1.6596,2,17-3-2020,12,0
Algeria,Algeria,28.0339,1.6596,2,18-3-2020,12,0
Algeria,Algeria,28.0339,1.6596,2,19-3-2020,32,20
Algeria,Algeria,28.0339,1.6596,2,20-3-2020,32,0
Algeria,Algeria,28.0339,1.6596,2,21-3-2020,32,0
Algeria,Algeria,28.0339,1.6596,2,22-3-2020,65,33
Algeria,Algeria,28.0339,1.6596,2,23-3-2020,65,0
Algeria,Algeria,28.0339,1.6596,2,24-3-2020,24,0
Algeria,Algeria,28.0339,1.6596,2,25-3-2020,65,41
Algeria,Algeria,28.0339,1.6596,2,26-3-2020,29,0
Algeria,Algeria,28.0339,1.6596,2,27-3-2020,29,0
Algeria,Algeria,28.0339,1.6596,2,28-3-2020,31,2
Algeria,Algeria,28.0339,1.6596,2,29-3-2020,31,0
Algeria,Algeria,28.0339,1.6596,2,30-3-2020,37,6
