State,Country,Lat,Long,id,confirmed_date,confirmed_acc_count,confirmed_inc_count
Albania,Albania,41.1533,20.1683,1,30-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,31-1-2020,0,0
Albania,Albania,41.1533,20.1683,1,1-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,2-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,3-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,4-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,5-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,6-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,7-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,8-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,9-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,10-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,11-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,12-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,13-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,14-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,15-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,16-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,17-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,18-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,19-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,20-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,21-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,22-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,23-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,24-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,25-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,26-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,27-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,28-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,29-2-2020,0,0
Albania,Albania,41.1533,20.1683,1,1-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,2-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,3-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,4-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,5-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,6-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,7-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,8-3-2020,0,0
Albania,Albania,41.1533,20.1683,1,9-3-2020,2,2
Albania,Albania,41.1533,20.1683,1,10-3-2020,10,8
Albania,Albania,41.1533,20.1683,1,11-3-2020,12,2
Albania,Albania,41.1533,20.1683,1,12-3-2020,23,11
Albania,Albania,41.1533,20.1683,1,13-3-2020,33,10
Albania,Albania,41.1533,20.1683,1,14-3-2020,38,5
Albania,Albania,41.1533,20.1683,1,15-3-2020,42,4
Albania,Albania,41.1533,20.1683,1,16-3-2020,51,9
Albania,Albania,41.1533,20.1683,1,17-3-2020,55,4
Albania,Albania,41.1533,20.1683,1,18-3-2020,59,4
Albania,Albania,41.1533,20.1683,1,19-3-2020,64,5
Albania,Albania,41.1533,20.1683,1,20-3-2020,70,6
Albania,Albania,41.1533,20.1683,1,21-3-2020,76,6
Albania,Albania,41.1533,20.1683,1,22-3-2020,89,13
Albania,Albania,41.1533,20.1683,1,23-3-2020,104,15
Albania,Albania,41.1533,20.1683,1,24-3-2020,123,19
Albania,Albania,41.1533,20.1683,1,25-3-2020,146,23
Albania,Albania,41.1533,20.1683,1,26-3-2020,174,28
Albania,Albania,41.1533,20.1683,1,27-3-2020,186,12
Albania,Albania,41.1533,20.1683,1,28-3-2020,197,11
Albania,Albania,41.1533,20.1683,1,29-3-2020,212,15
Albania,Albania,41.1533,20.1683,1,30-3-2020,223,11
Albania,Albania,41.1533,20.1683,1,31-3-2020,243,20
Albania,Albania,41.1533,20.1683,1,1-4-2020,259,16
Albania,Albania,41.1533,20.1683,1,2-4-2020,277,18
Albania,Albania,41.1533,20.1683,1,3-4-2020,304,27
Albania,Albania,41.1533,20.1683,1,4-4-2020,333,29
Albania,Albania,41.1533,20.1683,1,5-4-2020,361,28
Albania,Albania,41.1533,20.1683,1,6-4-2020,377,16
Albania,Albania,41.1533,20.1683,1,7-4-2020,383,6
Albania,Albania,41.1533,20.1683,1,8-4-2020,400,17
Albania,Albania,41.1533,20.1683,1,9-4-2020,409,9
Albania,Albania,41.1533,20.1683,1,10-4-2020,416,7
Albania,Albania,41.1533,20.1683,1,11-4-2020,433,17
Albania,Albania,41.1533,20.1683,1,12-4-2020,446,13
Albania,Albania,41.1533,20.1683,1,13-4-2020,467,21
Algeria,Algeria,28.0339,1.6596,2,22-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,23-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,24-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,25-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,26-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,27-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,28-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,29-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,30-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,31-1-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,1-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,2-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,3-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,4-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,5-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,6-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,7-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,8-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,9-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,10-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,11-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,12-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,13-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,14-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,15-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,16-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,17-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,18-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,19-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,20-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,21-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,22-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,23-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,24-2-2020,0,0
Algeria,Algeria,28.0339,1.6596,2,25-2-2020,1,1
Algeria,Algeria,28.0339,1.6596,2,26-2-2020,1,0
Algeria,Algeria,28.0339,1.6596,2,27-2-2020,1,0
Algeria,Algeria,28.0339,1.6596,2,28-2-2020,1,0
Algeria,Algeria,28.0339,1.6596,2,29-2-2020,1,0
Algeria,Algeria,28.0339,1.6596,2,1-3-2020,1,0
Algeria,Algeria,28.0339,1.6596,2,2-3-2020,3,2
Algeria,Algeria,28.0339,1.6596,2,3-3-2020,5,2
Algeria,Algeria,28.0339,1.6596,2,4-3-2020,12,7
Algeria,Algeria,28.0339,1.6596,2,5-3-2020,12,0
Algeria,Algeria,28.0339,1.6596,2,6-3-2020,17,5
Algeria,Algeria,28.0339,1.6596,2,7-3-2020,17,0
Algeria,Algeria,28.0339,1.6596,2,8-3-2020,19,2
Algeria,Algeria,28.0339,1.6596,2,9-3-2020,20,1
Algeria,Algeria,28.0339,1.6596,2,10-3-2020,20,0
Algeria,Algeria,28.0339,1.6596,2,11-3-2020,20,0
Algeria,Algeria,28.0339,1.6596,2,12-3-2020,24,4
Algeria,Algeria,28.0339,1.6596,2,13-3-2020,26,2
Algeria,Algeria,28.0339,1.6596,2,14-3-2020,37,11
Algeria,Algeria,28.0339,1.6596,2,15-3-2020,48,11
Algeria,Algeria,28.0339,1.6596,2,16-3-2020,54,6
Algeria,Algeria,28.0339,1.6596,2,17-3-2020,60,6
Algeria,Algeria,28.0339,1.6596,2,18-3-2020,74,14
Algeria,Algeria,28.0339,1.6596,2,19-3-2020,87,13
Algeria,Algeria,28.0339,1.6596,2,20-3-2020,90,3
Algeria,Algeria,28.0339,1.6596,2,21-3-2020,139,49
Algeria,Algeria,28.0339,1.6596,2,22-3-2020,201,62
Algeria,Algeria,28.0339,1.6596,2,23-3-2020,230,29
Algeria,Algeria,28.0339,1.6596,2,24-3-2020,264,34
Algeria,Algeria,28.0339,1.6596,2,25-3-2020,302,38
Algeria,Algeria,28.0339,1.6596,2,26-3-2020,367,65
Algeria,Algeria,28.0339,1.6596,2,27-3-2020,409,42
Algeria,Algeria,28.0339,1.6596,2,28-3-2020,454,45
Algeria,Algeria,28.0339,1.6596,2,29-3-2020,511,57
Algeria,Algeria,28.0339,1.6596,2,30-3-2020,584,73
Algeria,Algeria,28.0339,1.6596,2,31-3-2020,716,132
Algeria,Algeria,28.0339,1.6596,2,1-4-2020,847,131
Algeria,Algeria,28.0339,1.6596,2,2-4-2020,986,139
Algeria,Algeria,28.0339,1.6596,2,3-4-2020,1171,185
Algeria,Algeria,28.0339,1.6596,2,4-4-2020,1251,80
Algeria,Algeria,28.0339,1.6596,2,5-4-2020,1320,69
Algeria,Algeria,28.0339,1.6596,2,6-4-2020,1423,103
Algeria,Algeria,28.0339,1.6596,2,7-4-2020,1468,45
Algeria,Algeria,28.0339,1.6596,2,8-4-2020,1572,104
Algeria,Algeria,28.0339,1.6596,2,9-4-2020,1666,94
Algeria,Algeria,28.0339,1.6596,2,10-4-2020,1761,95
Algeria,Algeria,28.0339,1.6596,2,11-4-2020,1825,64
Algeria,Algeria,28.0339,1.6596,2,12-4-2020,1914,89
Algeria,Algeria,28.0339,1.6596,2,13-4-2020,1983,69
Andorra,Andorra,42.5063,1.5218,3,22-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,23-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,24-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,25-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,26-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,27-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,28-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,29-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,30-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,31-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,1-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,2-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,3-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,4-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,5-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,6-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,7-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,8-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,9-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,10-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,11-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,12-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,13-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,14-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,15-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,16-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,17-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,18-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,19-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,20-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,21-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,22-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,23-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,24-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,25-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,26-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,27-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,28-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,29-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,1-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,2-3-2020,1,1
Andorra,Andorra,42.5063,1.5218,3,3-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,4-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,5-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,6-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,7-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,8-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,9-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,10-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,11-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,12-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,13-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,14-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,15-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,16-3-2020,2,1
Andorra,Andorra,42.5063,1.5218,3,17-3-2020,39,37
Andorra,Andorra,42.5063,1.5218,3,18-3-2020,39,0
Andorra,Andorra,42.5063,1.5218,3,19-3-2020,53,14
Andorra,Andorra,42.5063,1.5218,3,20-3-2020,75,22
Andorra,Andorra,42.5063,1.5218,3,21-3-2020,88,13
Andorra,Andorra,42.5063,1.5218,3,22-3-2020,113,25
Andorra,Andorra,42.5063,1.5218,3,23-3-2020,133,20
Andorra,Andorra,42.5063,1.5218,3,24-3-2020,164,31
Andorra,Andorra,42.5063,1.5218,3,25-3-2020,188,24
Andorra,Andorra,42.5063,1.5218,3,26-3-2020,224,36
Andorra,Andorra,42.5063,1.5218,3,27-3-2020,267,43
Andorra,Andorra,42.5063,1.5218,3,28-3-2020,308,41
Andorra,Andorra,42.5063,1.5218,3,29-3-2020,334,26
Andorra,Andorra,42.5063,1.5218,3,30-3-2020,370,36
Andorra,Andorra,42.5063,1.5218,3,31-3-2020,376,6
Andorra,Andorra,42.5063,1.5218,3,1-4-2020,390,14
Andorra,Andorra,42.5063,1.5218,3,2-4-2020,428,38
Andorra,Andorra,42.5063,1.5218,3,3-4-2020,439,11
Andorra,Andorra,42.5063,1.5218,3,4-4-2020,466,27
Andorra,Andorra,42.5063,1.5218,3,5-4-2020,501,35
Andorra,Andorra,42.5063,1.5218,3,6-4-2020,525,24
Andorra,Andorra,42.5063,1.5218,3,7-4-2020,545,20
Andorra,Andorra,42.5063,1.5218,3,8-4-2020,564,19
Andorra,Andorra,42.5063,1.5218,3,9-4-2020,583,19
Andorra,Andorra,42.5063,1.5218,3,10-4-2020,601,18
Andorra,Andorra,42.5063,1.5218,3,11-4-2020,601,0
Andorra,Andorra,42.5063,1.5218,3,12-4-2020,638,37
Andorra,Andorra,42.5063,1.5218,3,13-4-2020,646,8
Angola,Angola,-11.2027,17.8739,4,22-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,23-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,24-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,25-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,26-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,27-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,28-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,29-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,30-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,31-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,1-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,2-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,3-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,4-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,5-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,6-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,7-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,8-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,9-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,10-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,11-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,12-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,13-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,14-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,15-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,16-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,17-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,18-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,19-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,20-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,21-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,22-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,23-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,24-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,25-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,26-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,27-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,28-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,29-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,1-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,2-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,3-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,4-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,5-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,6-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,7-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,8-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,9-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,10-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,11-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,12-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,13-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,14-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,15-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,16-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,17-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,18-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,19-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,20-3-2020,1,1
Angola,Angola,-11.2027,17.8739,4,21-3-2020,2,1
Angola,Angola,-11.2027,17.8739,4,22-3-2020,2,0
Angola,Angola,-11.2027,17.8739,4,23-3-2020,3,1
Angola,Angola,-11.2027,17.8739,4,24-3-2020,3,0
Angola,Angola,-11.2027,17.8739,4,25-3-2020,3,0
Angola,Angola,-11.2027,17.8739,4,26-3-2020,4,1
Angola,Angola,-11.2027,17.8739,4,27-3-2020,4,0
Angola,Angola,-11.2027,17.8739,4,28-3-2020,5,1
Angola,Angola,-11.2027,17.8739,4,29-3-2020,7,2
Angola,Angola,-11.2027,17.8739,4,30-3-2020,7,0
Angola,Angola,-11.2027,17.8739,4,31-3-2020,7,0
Angola,Angola,-11.2027,17.8739,4,1-4-2020,8,1
Angola,Angola,-11.2027,17.8739,4,2-4-2020,8,0
Angola,Angola,-11.2027,17.8739,4,3-4-2020,8,0
Angola,Angola,-11.2027,17.8739,4,4-4-2020,10,2
Angola,Angola,-11.2027,17.8739,4,5-4-2020,14,4
Angola,Angola,-11.2027,17.8739,4,6-4-2020,16,2
Angola,Angola,-11.2027,17.8739,4,7-4-2020,17,1
Angola,Angola,-11.2027,17.8739,4,8-4-2020,19,2
Angola,Angola,-11.2027,17.8739,4,9-4-2020,19,0
